Country Name,Country Code,Series Name,Series Code,2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
Angola,AGO,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,73.59285945,76.94338446,81.81521356,77.88191776,74.58008649,75.42429153,72.36566041,65.60426933,64.83342414,26.30650497
Antigua and Barbuda,ATG,"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,10.2309713,8.865549771,8.829671464,8.823952587,9.383988792,5.865206634,7.286560181,6.88138249,7.287310077,..
Antigua and Barbuda,ATG,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,22.13610001,25.95415806,27.08992804,25.86635771,26.87794663,50.40051121,50.3105359,55.98009929,47.60191992,..
Argentina,ARG,"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,46.53677483,44.15303179,46.83308684,47.74961682,47.79225534,43.99049075,44.45957375,43.47850852,47.62729322,7.331228118
Argentina,ARG,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,38.95635646,36.98285955,37.99518894,37.48494148,39.02791081,39.29663237,35.73305264,31.52477121,30.81938678,14.08983622
Armenia,ARM,"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,17.24821592,19.02187182,29.35397216,27.74011393,28.93624036,27.35965614,25.7527535,26.49293971,27.91655942,12.83892291
Armenia,ARM,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,16.57404954,14.3863311,11.81949362,10.80513409,10.18765429,10.31260555,12.04217211,10.97225459,10.16577658,3.542439149
Aruba,ABW,"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,15.69275468,15.56255819,14.76287015,16.07063598,15.91434596,15.11685256,15.29407066,14.89842167,..,..
Aruba,ABW,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,43.93804953,46.01973684,43.44859565,48.01463613,46.90693235,47.10850557,44.01563849,46.93294148,..,..
Australia,AUS,"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,23.27055159,23.40542525,23.46962353,24.64673616,25.0491407,23.56848534,21.71919103,21.3410941,21.00297592,4.839453495
Australia,AUS,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,29.30861955,27.7851053,28.00582884,29.18857708,30.56088927,29.1061434,28.20778578,26.69969701,26.55429869,9.470019324
Austria,AUT,"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,34.06488469,32.07181579,33.92230792,35.84409764,37.76858149,39.59666708,39.7899754,40.38068278,41.18348284,8.652525009
Austria,AUT,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,37.74523856,35.39924727,36.34379805,38.78051856,43.29315805,43.8532872,44.4086328,44.66602263,45.82032535,13.34285225
Azerbaijan,AZE,"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,50.201556,47.33144079,32.01289857,33.7208427,22.52811297,16.90911744,13.41097834,12.35852015,14.41147043,4.272962012
Azerbaijan,AZE,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,64.64855059,56.65941629,51.93507116,51.26382649,51.57843256,60.01493638,56.5148992,52.89226558,52.03775475,21.90873714
"Bahamas, The",BHS,"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,10.95175079,9.165562829,8.842368167,9.524215406,9.700438748,10.50039027,8.623700303,8.32318069,6.41606899,..
"Bahamas, The",BHS,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,43.16244211,37.78399422,41.24048198,43.57488419,51.31722949,55.68947742,41.57572475,50.41248139,49.21681585,..
Bahrain,BHR,"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,28.87886151,27.51146573,35.73273079,25.24098308,25.69613917,25.26374581,21.05186353,18.14466397,19.2725825,..
Bahrain,BHR,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,11.53376108,11.02889851,18.61821445,16.54347061,14.50231962,15.41231885,12.01436237,10.6067591,10.56019639,..
Bangladesh,BGD,"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,86.53031908,87.53922056,82.49336629,79.46825579,77.04673564,80.28319523,80.75942341,79.62610681,74.16874821,52.4152364
Bangladesh,BGD,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,12.95878057,14.01310067,11.2693246,12.83728027,11.93399393,16.12402867,13.28108448,13.06363871,13.89471631,8.058053657
Barbados,BRB,"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,18.74061632,28.6122184,17.64506255,18.81796738,25.59663089,..,..,..,..,..
Barbados,BRB,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,30.20744808,25.71352274,57.52970148,63.53868287,73.7308139,..,..,..,..,..
Belarus,BLR,"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,29.15556273,28.47401785,28.39647027,31.83611388,38.29736211,40.93228083,44.12301198,45.96094974,45.10479252,16.11893404
Belarus,BLR,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,28.50766456,28.78284004,32.44420575,37.70868888,46.69648806,47.0304024,44.56643054,45.68977414,40.39351125,25.43482709
Belgium,BEL,"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,52.34088054,51.15522682,52.81889618,54.79348974,57.52552608,59.41783392,59.67071992,61.17518633,59.36532197,12.35685146
Belgium,BEL,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,45.30114455,43.63188035,45.77557413,48.2880054,49.593238,51.45776846,54.66476455,54.3084812,53.57818749,9.997781452
Belize,BLZ,"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,19.12621062,17.64552468,19.10443871,20.3160916,15.82396839,17.6044712,19.16438652,19.68187776,20.59783368,6.44703794
Belize,BLZ,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,24.64762619,25.52914921,24.04333198,24.1574459,29.47162428,27.00443269,27.02699535,28.15611011,34.40606538,11.81206075
Benin,BEN,"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,30.18222252,31.4204192,27.7953392,24.24733758,33.63178176,34.03943832,12.31779404,21.18811366,5.099386317,..
Benin,BEN,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,26.12106666,23.65279679,21.99982596,22.65102749,37.60012497,31.00884313,22.07069301,21.58767836,1.528642453,..
Bermuda,BMU,"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,51.69212562,47.32018074,45.52797909,45.50532039,46.41783494,46.18729632,47.79578887,44.35457304,42.40517504,..
Bermuda,BMU,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,27.22499256,29.88587479,31.20188977,28.31360507,27.93239816,27.96296302,30.14919431,31.35111204,31.32964316,..
Bhutan,BTN,"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,6.9895157,3.775217933,3.351384963,5.849010918,2.203913343,1.768650031,1.829725252,1.770827095,1.483249504,0.88125295
Bhutan,BTN,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,37.21477052,30.36598976,29.93502197,31.79416158,43.82025033,50.34400549,44.9108428,47.93655782,39.26582563,31.70460386
Bolivia,BOL,"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,42.64924389,37.1828466,29.51588447,24.08227065,22.79523819,19.66334209,19.10210366,18.10721108,15.89195424,5.345654006
Bolivia,BOL,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,20.64274565,19.22827393,25.27561245,26.07029826,34.21327614,37.92238441,40.82158513,41.30872339,40.11125315,24.13070962
Bosnia and Herzegovina,BIH,"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,44.87433167,48.57311159,42.84593454,41.65879428,36.89842254,37.10810174,36.24359287,35.28347156,33.02355188,24.90340954
Bosnia and Herzegovina,BIH,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,27.68355501,27.98168985,30.70418365,27.93980217,24.13222718,26.34599511,24.66271158,20.48447843,17.42416149,7.329470354
Botswana,BWA,"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,19.16492631,25.84987507,37.9836233,27.05794937,31.38094242,32.97945926,30.18229236,28.27842267,27.62985735,12.92284504
Botswana,BWA,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,55.02703424,53.1095891,50.68211906,34.33781707,39.58705122,41.7461387,36.96231139,35.89326032,38.37575574,18.88699231
Brazil,BRA,"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,59.20390323,60.26312973,60.01441006,62.64339858,60.15572664,63.63996586,62.84801691,62.14942184,62.39325635,7.035523604
Brazil,BRA,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,52.54180058,50.57526068,48.8193975,50.4985075,49.22788901,51.68600763,57.12533484,59.98073621,53.41782374,12.11086809
British Virgin Islands,VGB,"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,..,..,..,..,..,..,..,..,..,..
British Virgin Islands,VGB,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,..,..,..,..,..,..,..,..,..,..
Brunei Darussalam,BRN,"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,21.39146298,..,..,..,..,8.215352057,4.854964985,6.940722778,4.391408668,11.86918449
Brunei Darussalam,BRN,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,34.22489796,..,..,..,..,55.26656036,57.45099951,53.2284632,35.28947836,16.26467516
Bulgaria,BGR,"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,21.89450337,27.24137773,25.88604737,30.67581737,26.82008529,28.23057863,33.27226441,30.89995064,29.26314843,6.489723563
Bulgaria,BGR,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,34.71595358,43.69139285,39.31495522,40.56715813,36.71734419,36.60039394,40.01511895,32.89101265,26.28646931,6.263591061
Burkina Faso,BFA,"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,31.02225178,56.66741167,65.19340397,39.9493546,38.38109048,38.17161294,38.96574057,40.23014481,25.88198529,..
Burkina Faso,BFA,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,20.4398858,36.65240377,38.52435302,29.97954662,25.69570143,26.12568051,26.55320119,25.9642809,12.13737892,..
Burundi,BDI,"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,95.16257959,94.87121566,91.90980952,92.70059135,92.56578904,85.88443072,86.35676984,91.0361418,89.64421748,..
Burundi,BDI,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,14.57704762,19.9230865,23.61071735,28.0642641,18.86885275,23.0076786,20.78050567,26.75941444,23.47745748,..
Cabo Verde,CPV,"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,10.55486447,9.950880574,9.771310331,10.99033434,12.65385784,15.96864021,12.46622915,19.18196447,17.91464135,5.19354083
Cabo Verde,CPV,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,14.31657624,18.86495452,19.57609802,32.96777458,36.51544753,37.96971219,33.7954215,47.81214786,48.9704226,10.19090038
Cambodia,KHM,"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,11.69727419,13.76454018,12.4092543,12.40499039,13.43406335,11.54518377,9.211921897,8.813690104,8.636750762,4.044680945
Cambodia,KHM,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,24.35385717,25.87989168,21.08593948,20.57625521,17.38700209,20.93167637,17.11581096,15.04430942,14.33139173,7.324602766
Cameroon,CMR,"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,34.26598566,46.94511946,45.80242436,40.59013112,35.99070052,35.3789163,34.35757305,34.40173829,33.03341401,..
Cameroon,CMR,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,44.25532907,47.03163442,20.41019959,25.80634178,30.91757429,30.44745748,25.68174823,27.56858701,32.30931635,..
Canada,CAN,"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,56.87431747,53.76118872,53.23016381,54.32144243,54.35286802,53.59528002,53.54880944,51.32935491,50.50477787,11.75917988
Canada,CAN,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,40.13183903,37.32323167,37.26578766,38.81884279,39.10802709,39.06180979,39.36076268,39.4952939,38.13314405,14.67059957
Cayman Islands,CYM,"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,..,..,..,..,..,..,..,..,..,..
Cayman Islands,CYM,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,..,..,..,..,..,..,..,..,..,..
Central African Republic,CAF,"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,..,..,..,..,..,..,..,..,..,..
Central African Republic,CAF,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,..,..,..,..,..,..,..,..,..,..
Chad,TCD,"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,..,..,..,..,..,..,..,..,..,..
Chad,TCD,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,..,..,..,..,..,..,..,..,..,..
Channel Islands,CHI,"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,..,..,..,..,..,..,..,..,..,..
Channel Islands,CHI,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,..,..,..,..,..,..,..,..,..,..
Chile,CHL,"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,22.4405642,23.22510859,23.81241603,27.53963317,29.22262586,31.38504848,35.54647852,35.54163246,31.39719571,4.982206315
Chile,CHL,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,30.11664679,27.29556363,27.6434754,32.42270627,35.37584098,36.19286853,41.00048576,41.66260349,38.82341917,15.70220686
China,CHN,"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,46.80031283,29.31079305,56.27839368,53.29029434,53.38734202,58.29551557,58.19956056,58.97547051,60.62457068,19.88048582
China,CHN,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,29.97142182,4.012775047,29.9904945,25.21731137,24.77966516,18.93983364,20.45126822,21.72153758,22.85668129,10.47055588
Colombia,COL,"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,22.07299269,21.8136238,19.05452263,21.79161724,22.85249507,20.68139797,20.25045528,19.78074204,20.51803784,4.528366563
Colombia,COL,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,29.90611264,28.30411827,29.67011966,27.79540367,32.49274152,29.88900153,27.77913428,26.23410952,25.35660722,6.11092024
Comoros,COM,"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,39.09740125,38.88112232,38.21965671,35.2510361,..,..,..,..,..,..
Comoros,COM,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,5.946420021,7.063872049,6.070780719,4.529981995,..,..,..,..,..,..
"Congo, Dem. Rep.",COD,"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,74.44222188,62.81523417,75.48011902,55.5048081,62.20895682,41.41572185,44.71797579,43.6057305,58.40633046,22.65044533
"Congo, Dem. Rep.",COD,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,34.49452424,24.0582867,27.60547489,35.3993552,26.727546,23.32282156,28.09139073,23.76380583,24.82983869,7.833646744
"Congo, Rep.",COG,"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,57.51705119,70.34446079,82.78149016,56.88712403,65.92537829,59.67005292,68.9513096,26.45733941,..,..
"Congo, Rep.",COG,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,60.44220849,66.72179691,72.66399219,68.63915803,64.18859358,68.6040052,67.1673931,16.33559798,..,..
Costa Rica,CRI,"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,41.16023964,46.83925213,49.41724125,50.26810487,49.46365042,50.45626013,50.22048367,50.30042302,51.33470524,3.291849795
Costa Rica,CRI,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,24.31727367,26.01802419,25.84025034,27.03945478,27.5179239,30.92235818,32.4543585,33.68922366,34.48708932,15.3777566
Cote d'Ivoire,CIV,"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,57.66277871,54.47779816,58.78207198,58.98665689,62.75740238,62.93284972,56.77646504,36.05184714,17.99563967,..
Cote d'Ivoire,CIV,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,27.21859346,26.80626623,26.93373224,21.09306477,24.33876493,24.97328981,24.60471953,36.49772757,19.09971036,..
Croatia,HRV,"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,17.72244397,18.87920614,18.0885784,18.34132033,16.69104613,16.85661225,19.3217858,19.80484823,19.54546902,5.782804591
Croatia,HRV,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,48.4062154,48.37682259,45.41913486,46.3376057,45.35944828,46.26193122,48.66245689,47.69411845,45.46633482,14.03376078
Cuba,CUB,"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,..,..,..,..,..,..,..,..,..,..
Cuba,CUB,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,..,..,..,..,..,..,..,..,..,..
Curacao,CUW,"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,..,..,53.77829924,50.31200668,45.73278356,46.24884968,49.86886622,49.43715596,51.99530222,18.79903756
Curacao,CUW,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,..,..,49.58285532,49.23897359,49.13749163,47.09430169,47.03139307,44.08200421,44.17047306,13.85773544
